field_name,description,data_type,data_category,channel,can_be_negative
Date,"The date for which data is provided. 
Could be start of week, or month, or quarter.",Date,Date,na,No
Sales_Qty,The count of items sold,Absolute,Sales,na,No
Sales_Revenue,The revenue obtained out of sold items,Absolute,Sales,na,No
Price_OR_UnitMargin,Average selling price (preferably weighted average),Absolute,Price,na,No
Region,Region for which the sales and spends is provided,Categorical,Grain,na,No
Brand,Brand for which the sales and spends is provided,Categorical,Grain,na,No
Category,Category for which the sales and spends is provided,Categorical,Grain,na,No
Promo_Offer_Flag,"Flag as 1 if some promotional offer is going on in that time period, else 0",Binary,Promo,na,No
CPI,Consumer Price Index - to capture macro economic factor,Rate,Macro,na,Yes
Inflation,Inflation percentage - to capture macro economic factor,Percentage,Macro,na,Yes
TV_Spend,Marketing spend made on TV,Absolute,Spend,TV,No
TV_Ad_Spot_Count,Total ad spots given within the time period,Absolute,Response,TV,No
TV_GRP_TRP,Metric for TV ad efficiency/audience reached. Reach (%) × Frequency.,Rate,Response,TV,No
Newspaper_Spend,Marketing spend made on Newspaper,Absolute,Spend,Newspaper,No
Newspaper_Ad_Count,Total newspaper ads print within the time period,Absolute,Response,Newspaper,No
Magazine_Spend,Marketing spend made on Magazine,Absolute,Spend,Magazine,No
Magazine_Reach,Estimated reach of the magazine,Absolute,Response,Magazine,No
Radio_Spend,Marketing spend made on Radio,Absolute,Spend,Radio,No
Radio_Ad_Spot_Count,Total ad spots given within the time period,Absolute,Response,Radio,No
Radio_Reach,Estimated audience reached,Absolute,Response,Radio,No
Radio_GRP,GRP of the radio ad,Percentage,Response,Radio,No
OOH_Billboards_Spend,Marketing spend made on Out of Home means like Billboards,Absolute,Spend,OOH Billboards,No
Transit_Ads_Spend,"Ad spend made on transit vehicles, say, Metro, Bus, Truck, Auto",Absolute,Spend,Transit Ads,No
Mall_Media_Spend,Marketing spend made on Out of Home means like Media,Absolute,Spend,Mall Media,No
Mall_Footfall,Footfall at the mall on days of Ad/Promotion,Absolute,Response,Mall Media,No
Cinema_Spend,Marketing spend made on Cinema Ads or Movie Hall Ads,Absolute,Spend,Cinema,No
Cinema_Reach_Screening_Count,Reach of cinema or screening count,Absolute,Response,Cinema,No
Facebook_Spend,Marketing spend made on Facebook,Absolute,Spend,Facebook,No
Facebook_Impressions,Number of times a facebook post reached user's screen,Absolute,Response,Facebook,No
Facebook_Clicks,Number of times an ad was clicked (even from same user),Absolute,Response,Facebook,No
Facebook_Reach,Unique number of people/user who's screen was reached by the Facebook Ad/Post,Absolute,Response,Facebook,No
Instagram_Spend,Marketing spend made on Instagram,Absolute,Spend,Instagram,No
Instagram_Impressions,Number of times an Instagram post reached user's screen,Absolute,Response,Instagram,No
Instagram_Clicks,Number of times an ad was clicked (even from same user),Absolute,Response,Instagram,No
Instagram_Saves,Number of saves for a post/ad/reel,Absolute,Response,Instagram,No
Instagram_Shares,Number of times a post/ad/reel was shared about the product,Absolute,Response,Instagram,No
Instagram_Reach,Unique number of people/user who's screen was reached by the Instagram Ad/Post/Reel,Absolute,Response,Instagram,No
Tiktok_Spend,Marketing spend made on Tiktok,Absolute,Spend,Tiktok,No
Tiktok_Impressions,Number of times a Tiktok Ad reached user's screen,Absolute,Response,Tiktok,No
Tiktok_Clicks,Number of times an ad was clicked (even from same user),Absolute,Response,Tiktok,No
Tiktok_Reach,Unique number of people/user who's screen was reached by the Tiktok Ad/Video,Absolute,Response,Tiktok,No
Snapchat_Spend,Marketing spend made on Snapchat,Absolute,Spend,Snapchat,No
Snapchat_Impressions,Number of times a Snapchat Ad reached user's screen,Absolute,Response,Snapchat,No
Snapchat_Clicks,Number of times an ad was clicked (even from same user),Absolute,Response,Snapchat,No
Snapchat_Reach,Unique number of people/user who's screen was reached by the Snapchat Ad,Absolute,Response,Snapchat,No
LinkedIn_Spend,Marketing spend made on LinkedIn,Absolute,Spend,LinkedIn,No
LinkedIn_Impressions,Number of times a LinkedIn post reached user's screen,Absolute,Response,LinkedIn,No
LinkedIn_Clicks,Number of times an ad was clicked (even from same user),Absolute,Response,LinkedIn,No
LinkedIn_Reach,Unique number of people/user who's screen was reached by the LinkedIn Ad/Post,Absolute,Response,LinkedIn,No
Twitter_Spend,Marketing spend made on Twitter,Absolute,Spend,Twitter,No
Twitter_Impressions,Number of times a Twitter post reached user's screen,Absolute,Response,Twitter,No
Twitter_Clicks,Number of times an ad was clicked (even from same user),Absolute,Response,Twitter,No
Twitter_Reach,Unique number of people/user who's screen was reached by the Twitter Ad/Tweet,Absolute,Response,Twitter,No
YouTube_Spend,Marketing spend made on YouTube,Absolute,Spend,YouTube,No
YouTube_Impressions,Number of times a YouTube Ad/Video reached user's screen,Absolute,Response,YouTube,No
YouTube_Views,Number of times users watch the video for some specified min duration,Absolute,Response,YouTube,No
YouTube_Likes,"Number of likes on the YouTube video with ad, or which is an ad",Absolute,Response,YouTube,No
YouTube_Shares,"Number of shares of the YouTube video with ad, or which is an ad",Absolute,Response,YouTube,No
Pinterest_Spend,Marketing spend made on Pinterest,Absolute,Spend,Pinterest,No
Pinterest_Saves,Number of people who saved the pinterest idea/post,Absolute,Response,Pinterest,No
Pinterest_Clicks,Number of times an ad was clicked (even from same user),Absolute,Response,Pinterest,No
OTT_Ads_Spend,Marketing spend made for advertisement on an OTT platform,Absolute,Spend,OTT,No
